Date,Site_name,Latitude,Longitude,Transect,Transect_length (m),Transect_ location (m),Strata,Slope,SST,Salinity,RDP,SWH,Quadrat_m2,Core_m3,ab_m2_Mytilus_sp,ab_m2_Semibalanus_balanoides,ab_m2_Littorina_saxatilis,ab_m3_Mya_arenaria,ab_m3_Mytilus_sp,ab_m3_Semibalanus_balanoides,ab_m2_Pagurus_longicarpus,ab_m3_Pagurus_longicarpus,pc_Fucus_spiralis,pc_Fucus_distichous_drift,pc_Fucus_distichous_attached,pc_Fucus_vesiculosus,pc_Ulva_ something???,ab_m3_Glycera_dibrachiata,ab_m2_Carcinus_maenas,ab_m3_Ensis_directus,Comments,,,,,
06/14/2014,South Street,4437' 43.79,6335' 29,c,11,8,h,,,,,,0.53,0.000307,,666,,,,,,,,,,,,,,,,,,,,
06/14/2014,South Street,4437' 43.79,6335' 29,c,11,5.5,m,,,,,,0.53,0.000307,66,3172,125,,,,,,,,30%,,,,1,,,,,,,
06/14/2014,South Street,4437' 43.79,6335' 29,c,11,2,l,,,,,,0.53,0.002309,89,621,186,1,,,,,,,15%,,,,,,clam 51.5 mm,,,,,
06/16/2014,Wolfville,,,c,525.7,376.2,h,,,,,,0.53,0.00246,,,1,,,,,,,,,,2%,,,,,,,,,
06/16/2014,Wolfville,,,c,525.7,221.89,m,,,,,,0.53,0.00246,,,,,,,,,,,,,,,,,,,,,,
06/16/2014,Wolfville,,,c,525.7,116.7,l,,,,,,0.53,0.00246,,153,,,,,2,,,,,,,,,2,,,,,,
06/16/2014,South Street,4437' 43.79,6335' 29,B,16.5,2,H,-,-,-,-,-,0.53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
06/17/2014,South Street,4437' 43.79,6335' 29,B,16.5,7,M,-,-,-,-,-,0.53,,0,556,84,1,0,53,0,0,5%,0,0,0,0,0,0,0,,,,,,
06/18/2014,South Street,4437' 43.79,6335' 29,B,16.5,13,L,-,-,-,-,-,0.53,,240,0,72,0,18,0,0,0,2%,0,0,0,0,0,0,0,,,,,,
06/19/2014,Wolfville,,,B,451,418,H,-,-,-,-,-,0.53,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
06/20/2014,Wolfville,,,B,451,235.4,M,-,-,-,-,-,0.53,,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,,,,,,
06/21/2014,Wolfville,,,B,451,142.5,L,-,-,-,-,-,0.53,,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
